subj_full,fed_district_full,fed_district_short,subj_alt_rus,subj_eng,subj_rus,col,row,dataset_subj,Площадь чиновника,Площадь средняя,Промышленность,Инфраструктура,Торговля и сервис,Услуги,Бюджетный сектор
Республика Ингушетия,Северо-Кавказский федеральный округ,СКФО,Инг,ING,ИНГ,6,10,Республика Ингушетия*,5 292 568,710 774,4 125 671,12 085 653,5 347 391,2 787 002,20 533 806
Республика Калмыкия,Южный федеральный округ,ЮФО,Калм,KLM,КАЛМ,6,8,Республика Калмыкия,17 914 194,608 221,634 617,15 941 128,4 418 446,3 416 176,13 112 302
Республика Карелия,Северо-Западный федеральный округ,СЗФО,Кар,KRL,КРЛ,3,1,Республика Карелия,14 758 441,28 895 512,41 993 424,52 439 464,26 091 565,22 825 571,46 445 810
Республика Коми,Северо-Западный федеральный округ,СЗФО,Коми,KOM,КОМИ,9,2,Республика Коми,10 504 029,191 568 398,64 003 604,118 663 593,31 086 168,57 607 264,73 462 207
Республика Крым,Южный федеральный округ,ЮФО,Крым,KRM,КРЫМ,2,8,Республика Крым,42 150 027,6 994 845,28 702 379,58 305 627,57 446 751,45 727 040,76 591 819
Республика Марий Эл,Приволжский федеральный округ,ПФО,Мари,MAR,МАР,7,3,Республика Марий Эл,27 049 981,172 661,47 714 571,22 089 495,20 113 600,19 218 622,24 105 067
Республика Мордовия,Приволжский федеральный округ,ПФО,Мор,MOR,МОРД,6,5,Республика Мордовия,28 519 262,147 406,48 357 532,43 602 837,23 663 973,19 947 718,33 894 051
Республика Саха (Якутия),Дальневосточный федеральный округ,ДФО,Саха,SAH,САХА,15,2,Республика Саха (Якутия),15 287 427,447 424 904,9 370 913,179 791 905,58 470 532,43 189 747,115 071 541
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,СКФО,Осeт,OSE,ОСЕТ,5,10,Республика Северная Осетия-Алания,18 181 862,375 681,10 457 896,23 697 216,24 390 097,8 983 189,39 412 376
Республика Татарстан,Приволжский федеральный округ,ПФО,Тат,TAT,ТАТ,8,4,Республика Татарстан (Татарстан),142 903 261,410 509 404,362 255 631,344 684 573,289 548 830,233 763 490,153 971 917
Республика Тыва,Сибирский федеральный округ,СФО,Тыва,TYV,ТЫВА,13,5,Республика Тыва,4 061 047,9 881 266,594 795,6 526 378,4 644 411,3 135 822,23 377 553
Республика Хакасия,Сибирский федеральный округ,СФО,Хак,HAK,ХАК,13,4,Республика Хакасия,9 300 331,24 097 234,25 247 513,51 202 326,27 652 395,15 084 752,29 849 555
Ростовская область,Южный федеральный округ,ЮФО,Рос,RST,РОСТ,5,8,Ростовская область,181 688 023,11 219 135,257 853 309,261 247 003,250 136 542,149 966 835,158 780 677
Рязанская область,Центральный федеральный округ,ЦФО,Ряз,RZN,РЯЗН,5,5,Рязанская область,28 795 076,885 527,98 732 614,59 003 267,55 393 416,43 116 439,51 047 213
Самарская область,Приволжский федеральный округ,ПФО,Сам,SAM,САМ,8,5,Самарская область,70 680 017,193 983 268,284 612 408,237 888 383,150 503 567,198 319 928,139 076 048
Санкт-Петербург,Северо-Западный федеральный округ,СЗФО,Спб,SPB,СПБ,0,0,Санкт-Петербург,7 390 564,11 972 824,623 808 302,795 732 788,793 009 093,1 050 846 635,459 422 238
Саратовская область,Приволжский федеральный округ,ПФО,Сар,SAR,САР,7,6,Саратовская область,102 223 912,14 331 474,131 857 894,162 825 889,81 603 175,61 517 146,100 694 269
Сахалинская область,Дальневосточный федеральный округ,ДФО,Схлн,SHL,СХЛН,18,3,Сахалинская область,48 124 097,413 827 442,21 127 565,98 547 219,47 312 009,75 631 276,63 269 404
Свердловская область,Уральский федеральный округ,УФО,Свер,SVE,СВРД,10,4,Свердловская область,45 338 981,26 768 811,613 591 821,366 251 489,408 552 426,286 233 935,231 318 265
Смоленская область,Центральный федеральный округ,ЦФО,Смол,SMO,СМОЛ,2,4,Смоленская область,15 565 797,733 433,62 540 927,68 332 260,50 281 441,22 839 948,42 024 154
Ставропольский край,Северо-Кавказский федеральный округ,СКФО,Став,STV,СТАВ,5,9,Ставропольский край,114 675 545,3 577 688,92 779 026,131 046 769,114 879 006,69 262 568,125 704 382
Тамбовская область,Центральный федеральный округ,ЦФО,Там,TMB,ТАМБ,5,6,Тамбовская область,76 240 642,94 788,42 409 658,73 687 751,50 100 181,28 300 353,40 600 037
Тверская область,Центральный федеральный округ,ЦФО,Твeр,TVE,ТВЕР,3,3,Тверская область,23 394 164,217 597,64 925 590,98 991 593,65 268 833,48 018 663,58 528 612
Томская область,Сибирский федеральный округ,СФО,Томск,TOM,ТОМ,12,3,Томская область,19 059 230,132 734 510,45 575 301,102 127 518,49 595 139,71 630 386,66 265 414
Тульская область,Центральный федеральный округ,ЦФО,Тул,TUL,ТУЛ,4,5,Тульская область,36 529 772,1 695 377,209 378 528,73 693 777,68 003 330,68 863 298,59 576 720
Тюменская область,Уральский федеральный округ,УФО,Тюм,TMN,ТЮМ,11,3,Тюменская область,54 793 509,3 206 897 387,223 374 103,1 179 054 116,402 355 000,526 606 975,328 992 178
Удмуртская Республика,Приволжский федеральный округ,ПФО,Удм,UDM,УДМ,9,4,Удмуртская Республика,42 157 293,125 296 667,114 887 853,78 092 774,58 022 938,55 231 711,66 425 749
Ульяновская область,Приволжский федеральный округ,ПФО,Уль,ULN,УЛЬН,7,5,Ульяновская область,27 148 898,6 985 117,86 661 592,65 131 237,45 598 842,43 519 267,53 204 307
Хабаровский край,Дальневосточный федеральный округ,ДФО,Хаб,HAB,ХАБ,16,3,Хабаровский край,50 580 503,36 357 292,72 531 371,188 652 892,107 202 965,70 120 306,112 210 951
Ханты-Мансийский автономный округ — Югра,Уральский федеральный округ,УФО,Хан,HAN,ХАН,10,3,Ханты-Мансийский автономный округ - Югра (Тюменская область),8 723 171,2 004 805 826,60 824 924,474 635 967,104 786 395,211 375 078,166 011 891
Челябинская область,Уральский федеральный округ,УФО,Чел,CHL,ЧЕЛ,10,5,Челябинская область,84 760 351,29 692 262,447 566 165,224 377 692,166 859 335,151 654 071,155 805 328
Чеченская Республика,Северо-Кавказский федеральный округ,СКФО,Чеч,CEC,ЧЕЧ,6,9,Чеченская Республика*,15 094 886,2 890 384,4 112 921,39 508 457,34 579 097,11 085 236,59 440 273
Чувашская Республика,Приволжский федеральный округ,ПФО,Чув,CHV,ЧУВ,7,4,Чувашская Республика - Чувашия,27 690 135,266 612,68 054 126,47 461 403,40 352 778,35 987 641,41 761 600
Чукотский автономный округ,Дальневосточный федеральный округ,ДФО,Чук,CHK,ЧУК,16,1,Чукотский автономный округ,434 732,33 168 712,249 958,13 830 517,3 245 022,1 602 718,13 615 175
Ямало-Ненецкий автономный округ,Уральский федеральный округ,УФО,Ямал,YAM,ЯМН,10,2,Ямало-Ненецкий автономный округ (Тюменская область),2 433 439,1 068 246 264,35 280 878,499 952 489,145 482 302,133 560 750,78 914 332
Ярославская область,Центральный федеральный округ,ЦФО,Яро,YAR,ЯРЛ,4,3,Ярославская область,19 334 398,560 767,126 898 686,110 621 809,82 628 456,69 848 490,59 912 289
Cевастополь,Южный федеральный округ,ЮФО,Сев,SEV,СЕВ,0,8,Севастополь,2 414 368,469 727,6 076 900,9 764 919,14 617 564,12 498 833,18 320 899
