"id","region",square2005,square2010,square2011,square2012,square2013,square2014,square2015,square2016,square2017,income2005,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017,"Место"
"74",Приморский край,19.4,20.8,21.1,21.4,21.7,22.1,22.4,22.6,22.9,7163,17298,19160,21679,24343,28340,32983,32446,33155,15
"75",Псковская область,25.6,28.1,28.2,28.5,28.6,28.7,29.4,29.8,30.4,4927,12798,14185,16294,17804,19500,21710,22101,23144,61
"3",Республика Адыгея,23.3,24.3,24.4,24.5,24.4,25.6,25.8,26.6,26.7,3893,12279,14272,17071,18512,22054,22646,23612,24677,51
"6",Республика Алтай,16.0,18.5,18.7,18.9,19.1,19.4,19.8,20.2,20.7,4381,13536,13837,14283,14752,17134,18254,17833,18411,79
"4",Республика Башкортостан,19.1,21.5,22.0,22.6,23.1,23.7,24.2,24.8,25.4,6887,17499,19030,21267,23892,25971,27730,28134,28442,27
"5",Республика Бурятия,17.9,19.2,19.9,20.2,20.6,21.0,21.4,21.7,21.8,6027,14271,15715,17688,20785,22326,25480,25172,25040,46
"59",Республика Дагестан,15.6,16.2,16.5,16.9,17.1,17.7,18.2,18.7,19.2,4388,15678,18278,20730,21717,23423,26738,28295,29206,25
"8",Республика Ингушетия,12.4,13.9,13.5,13.3,13.5,13.7,14.1,14.8,15.0,2737,9630,11562,12322,13821,14346,14713,15008,15131,83
"47",Республика Калмыкия,19.9,21.5,22.0,22.2,22.8,23.3,24.0,24.3,24.2,2392,7774,8829,10190,11311,12398,14230,14351,14730,84
"12",Республика Карелия,23.1,25.7,25.4,25.9,25.9,26.4,25.8,26.0,26.2,7278,16046,17543,20058,21494,22939,25717,25747,26740,36
"13",Республика Коми,23.1,24.7,25.0,25.4,25.5,25.9,26.7,27.1,27.9,11452,22260,23925,27040,29335,30844,32545,31529,31181,19
"109",Республика Крым,,,,,,15.4,16.3,17.1,17.5,,,,,,…,15658,18071,20128,76
"61",Республика Марий Эл,20.7,22.4,22.7,23.2,23.5,24.0,24.7,25.6,26.4,3376,10336,11328,12532,14517,16374,18513,18672,19017,78
"62",Республика Мордовия,21.8,24.0,24.5,25.0,25.5,26.0,26.4,26.7,27.2,4103,11294,11948,13081,14433,16134,17855,17698,18065,80
"92",Республика Саха (Якутия),19.4,20.2,20.4,20.7,20.6,21.1,21.5,21.7,22.1,11350,23088,25617,28701,31528,34205,37805,38937,39765,11
"17",Республика Северная Осетия — Алания,25.3,26.1,26.3,26.5,26.9,27.1,27.6,28.0,28.4,4669,13193,13757,16165,17788,19820,22003,22357,22773,63
"18",Республика Татарстан,20.5,22.8,23.3,23.7,24.2,24.7,25.2,25.7,26.2,7383,18424,20223,24004,26161,29830,32155,32614,31719,17
"85",Республика Тыва,12.7,13.0,13.1,13.2,12.9,13.1,13.5,13.8,13.9,4162,10160,10963,12014,13472,14083,15246,14111,14048,85
"21",Республика Хакасия,19.6,21.0,21.3,21.6,21.9,22.3,22.7,23.0,23.4,5177,12806,14223,16012,17876,18385,20789,21034,21209,73
"76",Ростовская область,19.7,21.6,21.9,22.3,22.8,23.2,23.6,24.1,24.7,6360,14647,16010,18107,20995,23355,26558,27112,27677,33
"103",Рязанская область,23.4,25.8,26.3,26.7,27.3,28.0,28.8,29.5,30.3,4775,13886,14788,17652,19828,21988,24226,24582,24789,47
"77",Самарская область,20.5,22.3,22.6,22.9,23.4,24.3,25.0,25.6,26.2,9264,20223,21756,24696,26865,26062,27739,26800,26988,35
"1",Санкт-Петербург,21.3,23.0,23.3,23.8,23.3,21.4,23.6,24.3,24.9,12264,24824,26069,27834,31407,34724,39935,41166,42133,9
"79",Саратовская область,22.7,25.3,25.7,26.1,26.5,27.1,27.8,28.3,28.8,5056,12147,13097,14280,16035,17941,20075,19411,19825,77
"94",Сахалинская область,21.6,23.6,24.2,24.7,24.1,25.3,25.2,25.8,26.1,12640,30727,32268,32721,39971,44690,49585,49601,48727,6
"80",Свердловская область,21.1,23.1,23.4,23.7,24.0,24.4,24.9,25.2,25.7,9022,22194,24893,27852,31013,32157,34805,35166,35289,14
"110",Севастополь,,,,,,21.2,17.8,18.0,25.5,,,,,,…,17882,24096,24713,50
"100",Смоленская область,23.3,25.6,25.8,26.2,26.3,26.8,27.4,27.9,28.4,5483,14546,15969,18305,19982,21788,24757,24475,25398,43
"81",Ставропольский край,19.6,21.3,21.8,22.1,22.5,23.1,23.7,23.9,24.3,5117,13016,14440,17088,19768,21590,22969,22460,23403,57
"82",Тамбовская область,22.3,24.1,24.6,25.0,25.5,26.1,26.9,27.7,28.6,5292,13631,15151,17449,19834,22377,25089,25975,25938,41
"101",Тверская область,25.4,27.8,28.2,28.6,29.0,29.3,30.0,30.8,31.3,5606,13873,14943,17282,19106,20602,23454,23907,24077,54
"106",Томская область,19.8,21.3,21.7,22.2,22.4,22.8,23.4,23.7,24.1,8142,15070,16516,18027,20430,21549,24846,24326,24457,52
"84",Тульская область,23.2,25.3,25.6,26.0,26.3,26.8,27.2,27.7,28.1,4988,15349,16975,19340,20903,23040,26290,27432,27774,32
"86",Тюменская область,18.9,20.8,21.0,21.2,21.5,22.1,22.9,23.1,23.5,14983,28757,30706,33473,36399,38523,41594,41312,42082,
"20",Удмуртская Республика,18.4,20.0,20.3,20.6,20.9,21.2,21.6,21.7,22.1,4657,12984,14452,16694,18660,21197,24454,23883,23925,56
"88",Ульяновская область,21.3,23.2,23.6,24.1,24.7,25.3,26.1,26.8,27.5,4576,13132,14312,16375,18580,21541,22779,22485,23133,62
"32",Хабаровский край,20.4,21.8,22.1,22.3,22.4,22.8,23.1,23.3,23.5,9654,22479,23766,25689,29382,31703,36621,37467,37698,12
"108",Ханты-Мансийский автономный округ — Югра,17.7,18.9,19.0,19.2,19.5,19.9,20.4,20.5,20.8,18115,32385,33926,36345,39292,41503,44507,44167,44843,7
"89",Челябинская область,20.7,23.0,23.4,23.7,24.2,24.6,25.0,25.4,25.8,6554,16821,18460,19816,21888,23157,24578,23473,23397,58
"90",Чеченская Республика,…,12.0,13.8,16.1,18.1,18.0,17.5,17.6,18.1,…,11982,14026,15274,17188,19788,22917,22821,22202,67
"91",Чувашская Республика,20.8,23.3,23.8,24.3,24.8,25.4,26.0,26.4,26.9,3959,11066,12083,13759,15264,16681,18289,17877,17892,81
"95",Чукотский автономный округ,27.9,30.4,30.0,29.7,25.9,25.4,25.5,25.6,24.1,19669,38147,43049,48533,52695,57310,61640,65679,70904,2
"104",Ямало-Ненецкий автономный округ,17.8,19.2,19.0,19.0,19.6,20.0,21.3,21.2,20.7,22231,43367,46785,52585,58040,61252,66795,68971,71705,1
"107",Ярославская область,22.5,24.5,24.6,24.8,24.8,25.4,26.0,26.6,27.1,6321,14491,15509,18605,21127,23876,27363,27825,27625,34
