subj_full,fed_district_full,fed_district_short,subj_alt_rus,subj_eng,subj_rus,col,row,dataset_subj,Площадь чиновника,Площадь средняя,region_id,year,a_income,a_squares,a_squares2,a_cor,b_income,b_squares
Приморский край,Дальневосточный федеральный округ,ДФО,При,PRI,ПРИМ,16,5,Приморский край,643.1,22.4,74,2015,395053,643.1,30106.0,0.154,32983.0,22.4
Псковская область,Северо-Западный федеральный округ,СЗФО,Пск,PSK,ПСК,2,3,Псковская область,1097.5,29.4,75,2015,169590,1097.5,308229.5,0.2456,21710.0,29.4
Республика Адыгея,Южный федеральный округ,ЮФО,Адыг,ADG,АДГ,3,8,Республика Адыгея (Адыгея),314.5,25.8,3,2015,175724,314.5,2141.7,0.1475,22646.0,25.8
Республика Алтай,Сибирский федеральный округ,СФО,Алт,ALR,АЛТР,12,6,Республика Алтай,2572.0,19.8,6,2015,117966,2572.0,4019.9,-0.0929,18254.0,19.8
Республика Башкортостан,Приволжский федеральный округ,ПФО,Бшк,BAS,БАШ,9,5,Республика Башкортостан,320.7,24.2,4,2015,124515,320.7,2588.6,0.1482,27730.0,24.2
Республика Бурятия,Сибирский федеральный округ,СФО,Бур,BUR,БУР,14,4,Республика Бурятия,419.8,21.4,5,2015,325261,419.8,634.6,0.1576,25480.0,21.4
Республика Дагестан,Северо-Кавказский федеральный округ,СКФО,Даг,DAG,ДАГ,7,9,Республика Дагестан,472.1,18.2,59,2015,190646,472.1,1753.4,0.5373,26738.0,18.2
Республика Ингушетия,Северо-Кавказский федеральный округ,СКФО,Инг,ING,ИНГ,6,10,Республика Ингушетия*,412.7,14.1,8,2015,130725,412.7,31814.7,-0.1071,14713.0,14.1
Республика Калмыкия,Южный федеральный округ,ЮФО,Калм,KLM,КАЛМ,6,8,Республика Калмыкия,346.9,24.0,47,2015,129311,346.9,4562.3,0.5655,14230.0,24.0
Республика Карелия,Северо-Западный федеральный округ,СЗФО,Кар,KRL,КРЛ,3,1,Республика Карелия,336.3,25.8,12,2015,146372,336.3,1429.1,0.3033,25717.0,25.8
Республика Коми,Северо-Западный федеральный округ,СЗФО,Коми,KOM,КОМИ,9,2,Республика Коми,282.6,26.7,13,2015,114191,282.6,946.2,0.0778,32545.0,26.7
Республика Марий Эл,Приволжский федеральный округ,ПФО,Мари,MAR,МАР,7,3,Республика Марий Эл,470.1,24.7,61,2015,149664,470.1,7769540.3,-0.0331,18513.0,24.7
Республика Мордовия,Приволжский федеральный округ,ПФО,Мор,MOR,МОРД,6,5,Республика Мордовия,575.2,26.4,62,2015,176015,575.2,25427.9,0.0838,17855.0,26.4
Республика Северная Осетия — Алания,Северо-Кавказский федеральный округ,СКФО,Осeт,OSE,ОСЕТ,5,10,Республика Северная Осетия-Алания,336.6,27.6,17,2015,128796,336.6,1333.3,0.0782,22003.0,27.6
Республика Татарстан,Приволжский федеральный округ,ПФО,Тат,TAT,ТАТ,8,4,Республика Татарстан (Татарстан),1507.9,25.2,18,2015,396996,1507.9,187216.6,0.4619,32155.0,25.2
Республика Хакасия,Сибирский федеральный округ,СФО,Хак,HAK,ХАК,13,4,Республика Хакасия,632.5,22.7,21,2015,89748,632.5,3751.5,-0.1192,20789.0,22.7
Ростовская область,Южный федеральный округ,ЮФО,Рос,RST,РОСТ,5,8,Ростовская область,368.9,23.6,76,2015,148990,368.9,1397.6,0.2933,26558.0,23.6
Самарская область,Приволжский федеральный округ,ПФО,Сам,SAM,САМ,8,5,Самарская область,255.1,25.0,77,2015,98677,255.1,16296.6,0.1083,27739.0,25.0
Санкт-Петербург,Северо-Западный федеральный округ,СЗФО,Спб,SPB,СПБ,0,0,Санкт-Петербург,488.2,23.6,1,2015,80423,488.2,10618.0,0.6154,39935.0,23.6
Саратовская область,Приволжский федеральный округ,ПФО,Сар,SAR,САР,7,6,Саратовская область,269.6,27.8,79,2015,190057,269.6,772.2,0.4199,20075.0,27.8
Тамбовская область,Центральный федеральный округ,ЦФО,Там,TMB,ТАМБ,5,6,Тамбовская область,216.6,26.9,82,2015,86274,216.6,2726.7,0.6905,25089.0,26.9
Тюменская область,Уральский федеральный округ,УФО,Тюм,TMN,ТЮМ,11,3,Тюменская область,863.7,22.9,86,2015,672873,863.7,4504.1,0.4216,41594.0,22.9
Хабаровский край,Дальневосточный федеральный округ,ДФО,Хаб,HAB,ХАБ,16,3,Хабаровский край,302.9,23.1,32,2015,186924,302.9,414429.0,0.5429,36621.0,23.1
Челябинская область,Уральский федеральный округ,УФО,Чел,CHL,ЧЕЛ,10,5,Челябинская область,1064.9,25.0,89,2015,1354747,1064.9,1796.4,0.2976,24578.0,25.0
Чукотский автономный округ,Дальневосточный федеральный округ,ДФО,Чук,CHK,ЧУК,16,1,Чукотский автономный округ,530.5,25.5,95,2015,113632,530.5,873.8,0.1622,61640.0,25.5
