"id","name"
"1","Автомобиль легковой"
"2","Автомобиль грузовой"
"3","Автоприцеп"
"4","Мототранспортное средство"
"5","Сельхоз техника"
"6","Водный транспорт"
"7","Воздушный транспорт"
"8","Иное"
