"id","name","name_ru","name_en","parent_name","fullname","parent"
"837","XJ220","XJ220","null","Jaguar","","58"
"838","XJR","XJR","null","Jaguar","","58"
"839","XJS","XJS","null","Jaguar","","58"
"840","XK","XK","null","Jaguar","","58"
"1390","XL","XL","null","SEAT","","100"
"1499","XL-7","XL-7","null","Suzuki","","113"
"293","XLR","XLR","null","Cadillac","","17"
"417","XM","XM","null","Citroen","","23"
"2272","XPDI","XPDI","null","Bombardier","","2271"
"935","XPower SV","XPower SV","null","MG","","70"
"419","Xsara","Xsara","null","Citroen","","23"
"420","Xsara Picasso","Xsara Picasso","null","Citroen","","23"
"1197","Xterra","Xterra","null","Nissan","","85"
"2287","XV","XV","","Subaru","","112"
"2020","Yamaha","Yamaha","null","","","null"
"1642","Yaris","Yaris","null","Toyota","","121"
"1643","Yaris Verso","Yaris Verso","null","Toyota","","121"
"2280","Yeti","Yeti","","Skoda","","108"
"2269","YETI Pro V-800","YETI Pro V-800","null","LYNX","","1911"
"897","Ypsilon","Ypsilon","null","Lancia","","63"
"493","YRV","YRV","null","Daihatsu","","27"
"677","Yukon","Yukon","null","GMC","","41"
"130","Yzk","Yzk","null","","","null"
"751","Z","Z","null","Honda","","49"
"243","Z1","Z1","null","BMW","","11"
"244","Z3","Z3","null","BMW","","11"
"245","Z4","Z4","null","BMW","","11"
"246","Z4 M","Z4 M","null","BMW","","11"
"247","Z8","Z8","null","BMW","","11"
"371","Zafira","Zafira","null","Chevrolet","","21"
"1243","Zafira","Zafira","null","Opel","","87"
"494","Zebra","Zebra","null","Daihatsu","","27"
"953","Zen","Zen","null","Maruti","","74"
"752","Zest","Zest","null","Honda","","49"
"898","Zeta","Zeta","null","Lancia","","63"
"1245","Zonda","Zonda","null","Pagani","","89"
"936","ZR","ZR","null","MG","","70"
"937","ZS","ZS","null","MG","","70"
"938","ZT","ZT","null","MG","","70"
"131","ZX","ZX","null","","","null"
"421","ZX","ZX","null","Citroen","","23"
"1766","Автокам-2160","Автокам-2160","null","Велта","","133"
"1898","АМУР","АМУР","null","","","null"
"132","ВАЗ","ВАЗ","null","","","null"
"133","Велта","Велта","null","","","null"
"134","ГАЗ","ГАЗ","null","","","null"
"1907","Газель","Газель","null","ГАЗ","","134"
"135","ЕРАЗ","ЕРАЗ","null","","","null"
"138","ЗАЗ","ЗАЗ","null","","","null"
"139","ЗИЛ","ЗИЛ","null","","","null"
"140","ИЖ","ИЖ","null","","","null"
"137","КАМАЗ","КАМАЗ","null","","","null"
"1859","Князь Владимир","Князь Владимир","null","Москвич","","142"
"141","ЛУАЗ","ЛУАЗ","null","","","null"
"2288","М-21","М-21","","ГАЗ","","134"
"1894","МАЗ","МАЗ","null","","","null"
"142","Москвич","Москвич","null","","","null"
"1896","ПАЗ","ПАЗ","null","","","null"
"1860","Святогор","Святогор","null","Москвич","","142"
"136","СеАЗ","СеАЗ","null","","","null"
"1820","Таврия","Таврия","null","ЗАЗ","","138"
"2193","ТагАЗ","ТагАЗ","null","","","null"
"143","УАЗ","УАЗ","null","","","null"
"1861","Юрий Долгорукий","Юрий Долгорукий","null","Москвич","","142"
